Date,Close,Adj Close,Dividends,,divMult,revCumProdDivMult,Adj Close w/o divs,,Split Multiple,Split Multiple rounded 2d.p,Quantity Multiplyer Raw,Quantity Multiplyer
7/10/06,93.85,27.66,0,,1,0.900,30.725,,0.327382661,0.3,1,
7/11/06,94.3,27.79,0,,1,0.900,30.869,,0.327351722,0.3,1,
7/12/06,92.2,27.18,0,,1,0.900,30.192,,0.327458529,0.3,1,
7/13/06,88.55,26.1,0,,1,0.900,28.992,,0.327408325,0.3,1,
7/14/06,89,26.23,0,,1,0.900,29.136,,0.327375413,0.3,1,
7/17/06,87.6,25.82,0,,1,0.900,28.681,,0.327408468,0.3,1,
7/18/06,88.82,26.18,0,,1,0.900,29.081,,0.32741355,0.3,1,
7/19/06,94.3,27.79,0,,1,0.900,30.869,,0.327351722,0.3,1,
7/20/06,91.59,27,0,,1,0.900,29.992,,0.327456398,0.3,1,
7/21/06,89.81,26.47,0,,1,0.900,29.403,,0.327391214,0.3,1,
7/24/06,93.85,27.66,0,,1,0.900,30.725,,0.327382661,0.3,1,
7/25/06,94.1,27.74,0,,1,0.900,30.814,,0.327457249,0.3,1,
7/26/06,93.7,27.62,0,,1,0.900,30.680,,0.327432557,0.3,1,
7/27/06,94.99,28,0,,1,0.900,31.103,,0.327429586,0.3,1,
7/28/06,97.03,28.6,0,,1,0.900,31.769,,0.327414401,0.3,1,
7/31/06,96.1,28.32,0,,1,0.900,31.458,,0.327346451,0.3,1,
8/1/06,94.55,27.87,0,,1,0.900,30.958,,0.327426037,0.3,1,
8/2/06,95.8,28.24,0,,1,0.900,31.369,,0.327443941,0.3,1,
8/3/06,95.7,28.21,0,,1,0.900,31.336,,0.327437883,0.3,1,
8/4/06,95.9,28.27,0,,1,0.900,31.402,,0.327449987,0.3,1,
8/7/06,95.3,28.09,0,,1,0.900,31.203,,0.327413524,0.3,1,
8/8/06,95.3,28.09,0,,1,0.900,31.203,,0.327413524,0.3,1,
8/9/06,95.66,28.19,0,,1,0.900,31.314,,0.32734256,0.3,1,
8/10/06,96.64,28.48,0,,1,0.900,31.636,,0.327356403,0.3,1,
8/11/06,95.47,28.14,0,,1,0.900,31.258,,0.327412267,0.3,1,
8/14/06,95.85,28.25,0,,1,0.900,31.380,,0.327389021,0.3,1,
