Date,Open,High,Low,Close,Volume,Adj Close,Dividends
2009-06-09,78.61,79.23,78.61,79.05,559600,57.13,0.0
2009-06-10,79.27,79.5,78.72,79.15,636700,57.21,0.0
2009-06-11,79.13,79.96,79.13,79.33,524400,57.34,0.0
2009-06-12,79.61,79.87,79.33,79.74,566000,57.63,0.0
2009-06-15,79.65,79.71,78.48,78.56,574500,56.78,0.0
2009-06-16,78.99,79.23,77.28,77.81,1180400,56.24,0.0
2009-06-17,77.79,78.27,77.02,77.36,1240800,55.91,0.0
2009-06-18,77.05,78.21,77.05,78.1,766200,56.45,0.0
2009-06-19,77.71,78.29,77.71,78.18,667900,56.5,0.0
2009-06-22,78.08,78.08,76.5,77.12,1096700,55.74,0.0
2009-06-23,76.86,77.74,76.86,77.25,582200,55.83,0.0
2009-06-24,77.49,78.3,77.25,77.64,576400,56.11,0.0
2009-06-25,77.89,78.44,77.61,78.38,647900,56.65,0.0
2009-06-26,78.34,78.39,77.79,78.36,495900,56.63,0.0
2009-06-29,78.44,79.34,78.41,79.34,647700,57.34,0.0
2009-06-30,79.5,79.85,79.22,79.71,538900,57.61,0.0
2009-07-01,79.25,79.51,78.79,79.18,922100,57.75,0.725
2009-07-02,78.92,78.95,77.71,77.8,651200,56.75,0.0
2009-07-06,77.52,78.04,76.61,76.64,794500,55.9,0.0
2009-07-07,77.13,77.32,75.57,75.57,886300,55.12,0.0
2009-07-08,75.61,76.89,75.55,76.03,1382300,55.45,0.0
2009-07-09,76.63,77.38,76.19,77.12,544900,56.25,0.0
2009-07-10,76.95,77.9,76.13,76.53,393700,55.82,0.0
2009-07-13,77.21,77.21,76.28,76.7,521500,55.94,0.0
2009-07-14,76.6,77.4,76.49,77.0,506600,56.16,0.0
2009-07-15,77.4,78.7,77.28,78.7,1040200,57.4,0.0
2009-07-16,78.53,79.0,78.0,78.94,515600,57.58,0.0
2009-07-17,78.83,79.02,78.65,79.01,597100,57.63,0.0
2009-07-20,79.23,80.21,79.23,80.11,784700,58.43,0.0
2009-07-21,80.34,80.85,79.81,80.5,938600,58.71,0.0
2009-07-22,80.4,80.76,80.0,80.6,483000,58.79,0.0
2009-07-23,81.0,81.79,80.42,81.42,750700,59.39,0.0
2009-07-24,81.8,82.01,80.73,81.9,639300,59.74,0.0
2009-07-27,82.17,82.29,81.62,82.05,512700,59.85,0.0
2009-07-28,82.14,82.42,81.8,82.14,591800,59.91,0.0
2009-07-29,82.44,82.76,82.06,82.42,627900,60.12,0.0
2009-07-30,82.85,83.91,82.65,83.1,976900,60.61,0.0
2009-07-31,83.75,84.65,83.38,84.45,740700,61.6,0.0
2009-08-03,83.77,84.19,83.69,83.9,880400,61.71,0.708
2009-08-04,84.3,84.34,83.02,83.72,615100,61.58,0.0
2009-08-05,83.54,83.98,82.81,83.45,756000,61.38,0.0
2009-08-06,83.71,83.8,82.6,82.79,619500,60.9,0.0
2009-08-07,83.22,84.11,82.79,83.37,711300,61.32,0.0
2009-08-10,83.63,83.77,83.06,83.75,527800,61.6,0.0
2009-08-11,83.75,84.05,83.24,83.55,623000,61.45,0.0
2009-08-12,83.28,83.64,83.0,83.34,491400,61.3,0.0
2009-08-13,83.34,83.35,82.08,82.28,825300,60.52,0.0
2009-08-14,82.62,82.62,81.75,81.87,585500,60.22,0.0
2009-08-17,81.39,81.65,79.63,79.87,1160800,58.75,0.0
2009-08-18,80.55,81.39,80.0,81.25,639200,59.76,0.0
2009-08-19,81.14,81.58,80.5,81.58,501700,60.01,0.0
2009-08-20,81.66,81.84,81.26,81.33,601200,59.82,0.0
2009-08-21,81.7,82.44,81.52,82.44,570400,60.64,0.0
2009-08-24,82.48,82.5,81.72,82.01,874600,60.32,0.0
2009-08-25,82.38,82.38,81.8,82.0,565000,60.31,0.0
2009-08-26,82.34,82.45,81.97,82.32,476100,60.55,0.0
2009-08-27,82.55,82.64,81.88,81.9,968500,60.24,0.0
2009-08-28,82.5,82.5,82.12,82.31,595800,60.54,0.0
2009-08-31,82.4,82.5,82.02,82.32,498500,60.55,0.0
2009-09-01,81.68,81.68,80.6,80.85,742300,59.98,0.702
2009-09-02,80.85,80.89,80.1,80.42,698800,59.66,0.0
2009-09-03,80.69,81.08,80.45,80.94,486000,60.05,0.0
2009-09-04,81.18,81.91,80.99,81.56,667000,60.51,0.0
2009-09-08,81.93,82.72,81.83,82.72,974200,61.37,0.0
2009-09-09,82.49,82.8,81.75,81.94,1454000,60.79,0.0
2009-09-10,82.37,83.25,82.02,83.21,695600,61.73,0.0
2009-09-11,83.55,84.14,83.27,84.0,607200,62.32,0.0
2009-09-14,84.07,84.15,83.51,84.1,579300,62.39,0.0
2009-09-15,84.37,84.72,84.12,84.7,1289500,62.84,0.0
2009-09-16,85.32,85.82,85.05,85.79,1143900,63.65,0.0
2009-09-17,85.79,85.94,85.16,85.94,733400,63.76,0.0
2009-09-18,85.72,86.06,84.86,85.7,565700,63.58,0.0
2009-09-21,85.5,85.75,84.93,85.75,510600,63.62,0.0
2009-09-22,86.02,86.13,85.5,85.65,413400,63.54,0.0
2009-09-23,85.9,86.36,85.8,85.91,464900,63.73,0.0
2009-09-24,86.3,86.49,85.71,86.07,774000,63.85,0.0
2009-09-25,86.1,86.38,85.45,85.79,454800,63.65,0.0
2009-09-28,86.15,86.54,85.36,86.47,455200,64.15,0.0
2009-09-29,86.45,86.49,86.19,86.37,693000,64.08,0.0
2009-09-30,86.35,86.69,85.94,86.35,688000,64.06,0.0
2009-10-01,85.36,85.41,83.39,83.39,3014800,62.37,0.705
2009-10-02,83.04,83.61,82.0,83.42,1694100,62.4,0.0
2009-10-05,83.67,84.54,83.55,84.54,556200,63.23,0.0
2009-10-06,84.79,85.17,84.2,84.25,813300,63.02,0.0
2009-10-07,84.12,85.08,84.12,84.87,637400,63.48,0.0
2009-10-08,84.87,85.42,84.87,85.41,824700,63.88,0.0
2009-10-09,85.11,85.74,84.95,85.74,680100,64.13,0.0
2009-10-12,85.87,85.88,85.55,85.72,354200,64.12,0.0
2009-10-13,85.87,85.87,85.19,85.7,295500,64.1,0.0
2009-10-14,86.0,86.12,85.72,86.04,749900,64.36,0.0
2009-10-15,86.07,86.1,85.75,86.02,382100,64.34,0.0
2009-10-16,86.07,86.09,85.6,86.01,443100,64.33,0.0
2009-10-19,86.17,86.27,85.95,86.03,534700,64.35,0.0
2009-10-20,86.13,86.43,86.01,86.19,419300,64.47,0.0
2009-10-21,86.33,86.93,86.15,86.34,869100,64.58,0.0
2009-10-22,86.67,87.0,86.47,87.0,646200,65.07,0.0
2009-10-23,87.2,87.2,86.61,86.85,420200,64.96,0.0
